dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sun,2023-10-08,15:30 ,Leverkusen,3.2,3–0,1.3,Köln,"30,210",BayArena,Felix Zwayer,Bundesliga,7,Xabi Alonso,Leverkusen,3-4-3,Lukáš Hrádecký,fi FIN,33-318,90,3,0,3,100.0,1.1,1,1,100.0,24,2,0.0,18.1,5,20.0,31.4,11,0,0.0,1,27.0
Sun,2023-10-08,15:30 ,Leverkusen,3.2,3–0,1.3,Köln,"30,210",BayArena,Felix Zwayer,Bundesliga,7,Steffen Baumgart,Köln,4-1-3-2,Marvin Schwäbe,de GER,28-166,90,10,3,7,70.0,3.7,5,11,45.5,42,5,26.2,31.3,5,0.0,26.2,11,0,0.0,3,37.7
Sun,2023-10-08,17:30 ,Bayern Munich,2.4,3–0,0.1,Freiburg,,Allianz Arena,Robert Schröder,Bundesliga,7,Thomas Tuchel,Bayern Munich,4-2-3-1,Sven Ulreich,de GER,35-066,90,0,0,0,,0.0,1,3,33.3,40,1,5.0,19.6,2,50.0,43.0,3,0,0.0,4,34.0
Sun,2023-10-08,17:30 ,Bayern Munich,2.4,3–0,0.1,Freiburg,,Allianz Arena,Robert Schröder,Bundesliga,7,Christian Streich,Freiburg,4-4-2,Noah Atubolu,de GER,21-136,90,6,3,3,50.0,2.3,4,17,23.5,28,6,39.3,35.0,9,66.7,53.1,14,1,7.1,0,9.7
Sun,2023-10-08,19:30 ,Eint Frankfurt,1.9,2–0,1.2,Heidenheim,"55,800",Deutsche Bank Park,Daniel Schlager,Bundesliga,7,Dino Toppmöller,Eint Frankfurt,3-4-3,Kevin Trapp,de GER,33-092,90,2,0,2,100.0,0.5,3,12,25.0,26,3,30.8,32.0,6,66.7,44.7,19,0,0.0,0,8.5
Sun,2023-10-08,19:30 ,Eint Frankfurt,1.9,2–0,1.2,Heidenheim,"55,800",Deutsche Bank Park,Daniel Schlager,Bundesliga,7,Frank Schmidt,Heidenheim,4-2-3-1,Kevin Müller,de GER,32-207,90,6,2,4,66.7,0.8,4,13,30.8,55,2,18.2,31.9,8,37.5,36.6,12,1,8.3,0,14.5
Fri,2023-10-20,20:30 ,Dortmund,2.6,1–0,0.4,Werder Bremen,"81,365",Signal Iduna Park,Felix Brych,Bundesliga,8,Edin Terzić,Dortmund,4-5-1,Gregor Kobel,ch SUI,25-318,90,1,0,1,100.0,0.1,4,6,66.7,29,5,20.7,30.3,3,0.0,34.3,11,0,0.0,0,16.0
Fri,2023-10-20,20:30 ,Dortmund,2.6,1–0,0.4,Werder Bremen,"81,365",Signal Iduna Park,Felix Brych,Bundesliga,8,Ole Werner,Werder Bremen,3-5-2,Michael Zetterer,de GER,28-100,90,5,1,4,80.0,1.7,7,16,43.8,38,12,31.6,30.7,12,33.3,36.8,18,3,16.7,1,13.3
Sat,2023-10-21,15:30 ,Freiburg,2.3,2–1,1.5,Bochum,"33,900",Europa-Park Stadion,Tobias Reichel,Bundesliga,8,Christian Streich,Freiburg,3-4-3,Noah Atubolu,de GER,21-149,90,3,1,2,66.7,1.0,1,9,11.1,24,11,16.7,29.1,9,55.6,48.8,10,2,20.0,0,7.0
Sat,2023-10-21,15:30 ,Freiburg,2.3,2–1,1.5,Bochum,"33,900",Europa-Park Stadion,Tobias Reichel,Bundesliga,8,Thomas Letsch,Bochum,3-4-3,Manuel Riemann,de GER,35-042,90,5,2,3,80.0,2.3,10,37,27.0,57,1,64.9,46.4,7,0.0,17.9,19,0,0.0,3,21.8
Sat,2023-10-21,15:30 ,Darmstadt 98,2.4,1–3,1.9,RB Leipzig,"17,810",Merck-Stadion am Böllenfalltor,Harm Osmers,Bundesliga,8,Torsten Lieberknecht,Darmstadt 98,3-4-1-2,Marcel Schuhen,de GER,30-281,90,7,3,4,57.1,3.1,8,18,44.4,47,8,29.8,31.4,8,50.0,42.8,5,0,0.0,5,19.8
Sat,2023-10-21,15:30 ,Darmstadt 98,2.4,1–3,1.9,RB Leipzig,"17,810",Merck-Stadion am Böllenfalltor,Harm Osmers,Bundesliga,8,Marco Rose,RB Leipzig,4-2-2-2,Janis Blaswich,de GER,32-172,90,4,1,3,100.0,1.3,3,22,13.6,36,9,38.9,36.4,14,57.1,48.6,21,0,0.0,0,20.0
Sat,2023-10-21,15:30 ,Wolfsburg,1.4,1–2,1.9,Leverkusen,"28,917",Volkswagen Arena,Marco Fritz,Bundesliga,8,Niko Kovač,Wolfsburg,3-4-3,Pavao Pervan,at AUT,35-342,90,7,2,5,71.4,2.7,4,17,23.5,38,6,39.5,33.2,4,50.0,44.8,7,0,0.0,1,9.0
Sat,2023-10-21,15:30 ,Wolfsburg,1.4,1–2,1.9,Leverkusen,"28,917",Volkswagen Arena,Marco Fritz,Bundesliga,8,Xabi Alonso,Leverkusen,3-4-3,Lukáš Hrádecký,fi FIN,33-331,90,6,1,5,83.3,1.7,4,9,44.4,37,8,21.6,30.6,4,25.0,31.8,10,1,10.0,2,14.5
Sat,2023-10-21,15:30 ,Union Berlin,0.6,0–3,1.4,Stuttgart,"22,012",Stadion An der Alten Försterei,Bastian Dankert,Bundesliga,8,Urs Fischer,Union Berlin,3-5-2,Frederik Rønnow,dk DEN,31-078,90,5,3,2,40.0,2.7,3,10,30.0,32,7,28.1,29.1,2,50.0,46.0,8,1,12.5,2,16.3
Sat,2023-10-21,15:30 ,Union Berlin,0.6,0–3,1.4,Stuttgart,"22,012",Stadion An der Alten Försterei,Bastian Dankert,Bundesliga,8,Sebastian Hoeneß,Stuttgart,4-2-3-1,Alexander Nübel,de GER,27-021,90,1,0,1,100.0,0.1,3,10,30.0,31,5,19.4,27.6,6,66.7,44.8,27,4,14.8,2,13.0
Sat,2023-10-21,15:30 ,Hoffenheim,1.4,1–3,2.4,Eint Frankfurt,"30,150",PreZero Arena,Matthias Jöllenbeck,Bundesliga,8,Pellegrino Matarazzo,Hoffenheim,3-5-2,Oliver Baumann,de GER,33-141,90,5,3,2,40.0,2.8,2,8,25.0,38,3,18.4,22.8,4,25.0,45.5,6,0,0.0,4,27.5
Sat,2023-10-21,15:30 ,Hoffenheim,1.4,1–3,2.4,Eint Frankfurt,"30,150",PreZero Arena,Matthias Jöllenbeck,Bundesliga,8,Dino Toppmöller,Eint Frankfurt,3-4-3,Jens Grahl,de GER,35-029,90,4,1,3,75.0,1.0,2,18,11.1,40,9,35.0,35.9,5,80.0,58.0,21,2,9.5,0,11.0
Sat,2023-10-21,18:30 ,Mainz 05,1.1,1–3,1.8,Bayern Munich,,Mewa Arena,Sascha Stegemann,Bundesliga,8,Bo Svensson,Mainz 05,3-4-3,Robin Zentner,de GER,28-358,90,5,3,2,40.0,1.8,2,5,40.0,23,6,21.7,25.3,4,0.0,18.0,11,0,0.0,0,14.0
Sat,2023-10-21,18:30 ,Mainz 05,1.1,1–3,1.8,Bayern Munich,,Mewa Arena,Sascha Stegemann,Bundesliga,8,Thomas Tuchel,Bayern Munich,4-2-3-1,Sven Ulreich,de GER,35-079,90,3,1,2,66.7,0.9,5,16,31.3,44,6,31.8,30.8,5,40.0,37.4,14,0,0.0,1,24.0
Sun,2023-10-22,15:30 ,Köln,2.7,3–1,0.3,M'Gladbach,"50,000",RheinEnergieSTADION,Deniz Aytekin,Bundesliga,8,Steffen Baumgart,Köln,4-2-3-1,Marvin Schwäbe,de GER,28-180,90,2,1,1,50.0,0.7,7,13,53.8,42,2,31.0,31.1,4,0.0,18.0,8,0,0.0,0,
Sun,2023-10-22,15:30 ,Köln,2.7,3–1,0.3,M'Gladbach,"50,000",RheinEnergieSTADION,Deniz Aytekin,Bundesliga,8,Gerardo Seoane,M'Gladbach,3-5-2,Moritz Nicolas,de GER,26-001,90,8,3,5,87.5,3.5,1,6,16.7,27,6,14.8,26.0,10,20.0,28.1,18,1,5.6,2,16.2
Sun,2023-10-22,17:30 ,Heidenheim,1.5,2–5,2.5,Augsburg,"15,000",Voith-Arena,Tobias Stieler,Bundesliga,8,Frank Schmidt,Heidenheim,4-1-4-1,Kevin Müller,de GER,32-221,90,6,5,1,33.3,3.1,7,9,77.8,27,5,25.9,32.3,5,40.0,39.8,10,0,0.0,1,19.5
Sun,2023-10-22,17:30 ,Heidenheim,1.5,2–5,2.5,Augsburg,"15,000",Voith-Arena,Tobias Stieler,Bundesliga,8,Jess Thorup,Augsburg,4-2-2-2,Finn Dahmen,de GER,25-209,90,5,2,3,60.0,2.2,7,13,53.8,34,1,29.4,33.2,7,42.9,38.6,16,0,0.0,0,10.0
Fri,2023-10-27,20:30 ,Bochum,1.4,2–2,0.4,Mainz 05,"26,000",Vonovia Ruhrstadion,Patrick Ittrich,Bundesliga,9,Thomas Letsch,Bochum,3-4-3,Manuel Riemann,de GER,35-048,90,3,2,2,33.3,0.7,15,47,31.9,62,2,71.0,46.0,3,100.0,71.0,10,2,20.0,3,21.7
Fri,2023-10-27,20:30 ,Bochum,1.4,2–2,0.4,Mainz 05,"26,000",Vonovia Ruhrstadion,Patrick Ittrich,Bundesliga,9,Bo Svensson,Mainz 05,3-4-3,Robin Zentner,de GER,28-364,90,4,2,2,75.0,2.8,4,19,21.1,37,6,51.4,40.7,4,0.0,24.8,15,1,6.7,2,17.7
Sat,2023-10-28,15:30 ,M'Gladbach,1.0,2–1,0.4,Heidenheim,"51,541",Stadion im Borussia-Park,Robert Hartmann,Bundesliga,9,Gerardo Seoane,M'Gladbach,4-2-3-1,Moritz Nicolas,de GER,26-007,90,4,1,3,75.0,0.8,5,12,41.7,49,1,22.4,27.0,1,100.0,61.0,17,1,5.9,0,12.7
Sat,2023-10-28,15:30 ,M'Gladbach,1.0,2–1,0.4,Heidenheim,"51,541",Stadion im Borussia-Park,Robert Hartmann,Bundesliga,9,Frank Schmidt,Heidenheim,4-2-3-1,Kevin Müller,de GER,32-227,90,5,2,4,60.0,1.0,2,11,18.2,33,3,30.3,35.1,4,25.0,38.3,12,1,8.3,0,9.5
Sat,2023-10-28,15:30 ,Werder Bremen,0.8,2–0,0.6,Union Berlin,"42,100",Wohninvest Weserstadion,Tobias Stieler,Bundesliga,9,Ole Werner,Werder Bremen,3-5-2,Michael Zetterer,de GER,28-108,90,2,0,2,100.0,0.2,3,8,37.5,32,7,25.0,33.8,2,0.0,30.5,18,1,5.6,2,22.3
Sat,2023-10-28,15:30 ,Werder Bremen,0.8,2–0,0.6,Union Berlin,"42,100",Wohninvest Weserstadion,Tobias Stieler,Bundesliga,9,Urs Fischer,Union Berlin,3-5-2,Frederik Rønnow,dk DEN,31-085,90,4,2,3,50.0,0.5,3,11,27.3,29,7,27.6,30.3,5,60.0,48.0,9,1,11.1,1,14.7
