gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
33,Wed,2023-05-03,18:00 ,Juventus,1.8,2–1,1.7,Lecce,"33,757",Allianz Stadium,Francesco Fourneau,Serie-A,33,Massimiliano Allegri,Juventus,3-5-1-1,Wojciech Szczęsny,pl POL,33-015,90,5,1,4,100.0,1.3,7,8,87.5,26,5,19.2,25.0,10,30.0,31.0,25,0,0.0,0,
33,Wed,2023-05-03,18:00 ,Juventus,1.8,2–1,1.7,Lecce,"33,757",Allianz Stadium,Francesco Fourneau,Serie-A,33,Marco Baroni,Lecce,4-3-3,Wladimiro Falcone,it ITA,28-021,90,4,2,2,50.0,1.0,4,14,28.6,17,1,47.1,41.4,11,54.5,46.7,18,0,0.0,1,40.0
33,Wed,2023-05-03,18:00 ,Salernitana,1.1,3–3,1.9,Fiorentina,"17,868",Stadio Arechi,Ivan Pezzuto,Serie-A,33,Paulo Sousa,Salernitana,3-4-3,Guillermo Ochoa,mx MEX,37-294,90,3,3,0,0.0,2.2,11,30,36.7,38,4,68.4,41.9,12,33.3,28.4,16,1,6.3,0,4.2
33,Wed,2023-05-03,18:00 ,Salernitana,1.1,3–3,1.9,Fiorentina,"17,868",Stadio Arechi,Ivan Pezzuto,Serie-A,33,Vincenzo Italiano,Fiorentina,4-3-3,Pietro Terracciano,it ITA,33-056,90,3,3,0,33.3,1.5,8,16,50.0,32,4,43.8,36.4,2,100.0,63.5,4,0,0.0,0,11.0
33,Wed,2023-05-03,18:00 ,Atalanta,0.8,3–2,1.0,Spezia,"17,417",Gewiss Stadium,Livio Marinelli,Serie-A,33,Gian Piero Gasperini,Atalanta,3-4-1-2,Juan Musso,ar ARG,28-362,90,4,2,2,50.0,1.7,1,10,10.0,15,4,33.3,32.8,8,62.5,49.9,6,0,0.0,0,
33,Wed,2023-05-03,18:00 ,Atalanta,0.8,3–2,1.0,Spezia,"17,417",Gewiss Stadium,Livio Marinelli,Serie-A,33,Leonardo Semplici,Spezia,4-3-3,Bartłomiej Drągowski,pl POL,25-257,90,6,3,3,50.0,1.0,4,14,28.6,54,2,22.2,31.0,7,28.6,35.9,20,0,0.0,1,11.8
33,Wed,2023-05-03,21:00 ,Milan,1.6,1–1,1.2,Cremonese,"68,136",Stadio Giuseppe Meazza,Luca Pairetto,Serie-A,33,Stefano Pioli,Milan,4-2-3-1,Mike Maignan,fr FRA,27-304,90,2,1,1,50.0,1.0,1,6,16.7,31,3,16.1,25.3,4,25.0,29.0,3,0,0.0,2,41.5
33,Wed,2023-05-03,21:00 ,Milan,1.6,1–1,1.2,Cremonese,"68,136",Stadio Giuseppe Meazza,Luca Pairetto,Serie-A,33,Davide Ballardini,Cremonese,4-2-3-1,Marco Carnesecchi,it ITA,22-306,90,5,1,4,80.0,0.9,10,31,32.3,35,5,60.0,44.5,10,100.0,69.5,20,3,15.0,2,10.9
33,Wed,2023-05-03,21:00 ,Lazio,1.9,2–0,0.9,Sassuolo,"35,000",Stadio Olimpico,Massimiliano Irrati,Serie-A,33,Maurizio Sarri,Lazio,4-3-3,Ivan Provedel,it ITA,29-047,90,2,0,2,100.0,0.3,4,8,50.0,32,1,21.9,26.5,1,100.0,71.0,11,0,0.0,0,14.0
33,Wed,2023-05-03,21:00 ,Lazio,1.9,2–0,0.9,Sassuolo,"35,000",Stadio Olimpico,Massimiliano Irrati,Serie-A,33,Alessio Dionisi,Sassuolo,4-3-3,Andrea Consigli,it ITA,36-096,90,5,2,3,60.0,2.1,2,8,25.0,33,5,21.2,26.3,4,25.0,31.8,3,2,66.7,0,7.3
33,Wed,2023-05-03,21:00 ,Hellas Verona,0.5,0–6,2.4,Inter,"19,409",Stadio Marc'Antonio Bentegodi,Daniele Orsato,Serie-A,33,Marco Zaffaroni,Hellas Verona,4-4-1-1,Lorenzo Montipò,it ITA,27-072,90,10,6,5,40.0,3.5,12,25,48.0,22,1,77.3,53.5,9,88.9,64.3,16,1,6.3,0,9.0
33,Wed,2023-05-03,21:00 ,Hellas Verona,0.5,0–6,2.4,Inter,"19,409",Stadio Marc'Antonio Bentegodi,Daniele Orsato,Serie-A,33,Simone Inzaghi,Inter,3-5-2,Samir Handanović,si SVN,38-293,90,2,0,2,100.0,0.1,0,1,0.0,56,6,1.8,18.9,5,0.0,15.2,9,0,0.0,0,15.0
33,Wed,2023-05-03,21:00 ,Monza,0.9,1–1,1.0,Roma,"12,388",U-Power Stadium,Daniele Chiffi,Serie-A,33,Raffaele Palladino,Monza,3-4-3,Michele Di Gregorio,it ITA,25-280,90,7,1,6,85.7,1.1,8,16,50.0,38,5,31.6,32.7,6,66.7,51.3,19,0,0.0,1,13.0
33,Wed,2023-05-03,21:00 ,Monza,0.9,1–1,1.0,Roma,"12,388",U-Power Stadium,Daniele Chiffi,Serie-A,33,José Mourinho,Roma,3-4-3,Rui Patrício,pt POR,35-077,90,4,1,3,75.0,0.6,3,6,50.0,10,2,40.0,31.5,4,50.0,42.5,11,0,0.0,2,24.0
33,Thu,2023-05-04,20:45 ,Udinese,0.3,1–1,0.5,Napoli,"24,911",Dacia Arena,Rosario Abisso,Serie-A,33,Andrea Sottil,Udinese,3-5-1-1,Marco Silvestri,it ITA,32-063,90,4,1,3,75.0,0.6,5,13,38.5,18,1,38.9,37.0,10,60.0,44.8,12,0,0.0,1,12.0
33,Thu,2023-05-04,20:45 ,Udinese,0.3,1–1,0.5,Napoli,"24,911",Dacia Arena,Rosario Abisso,Serie-A,33,Luciano Spalletti,Napoli,4-3-3,Alex Meret,it ITA,26-043,90,3,1,2,66.7,0.8,2,3,66.7,17,4,11.8,23.6,5,20.0,23.8,5,1,20.0,0,9.3
